split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,txn_with_format,0.001,1523,1523171,1666,175,0.10504201680672269,0.1149047931713723,218,152,0.09978660538411033,0.1313197636244255,0.45871559633027525,0.38990825688073394,0.5229357798165137,0.1834862385321101,0.13302752293577982,0.23394495412844038,0.18807339449541285,0.1375000000000002,0.24311926605504589
HI-Small,txn_with_format,0.005,7616,1523171,1666,277,0.16626650660264106,0.036370798319327734,218,152,0.03216911764705882,0.04070706407563023,0.5871559633027523,0.5228211009174314,0.6513761467889908,0.26605504587155965,0.20642201834862386,0.3256880733944954,0.25688073394495414,0.2018348623853211,0.3165137614678899
HI-Small,txn_with_format,0.01,15232,1523171,1666,395,0.23709483793517408,0.025932247899159665,218,152,0.0233718487394958,0.028426995798319327,0.6972477064220184,0.6376146788990825,0.7568807339449541,0.3486238532110092,0.28440366972477066,0.41284403669724773,0.3623853211009174,0.2981651376146789,0.42660550458715596
HI-Small,txn_without_format,0.001,1523,1523171,1666,8,0.004801920768307323,0.005252790544977019,218,152,0.001969796454366382,0.009192383453709783,0.03669724770642202,0.013761467889908258,0.06422018348623854,0.0,0.0,0.0,0.013761467889908258,0.0,0.03211009174311927
HI-Small,txn_without_format,0.005,7616,1523171,1666,100,0.060024009603841535,0.013130252100840336,218,152,0.010635504201680673,0.015756302521008403,0.3073394495412844,0.24311926605504589,0.3669724770642202,0.10550458715596331,0.06880733944954129,0.14678899082568808,0.10550458715596331,0.06422018348623854,0.14678899082568808
HI-Small,txn_without_format,0.01,15232,1523171,1666,186,0.11164465786314526,0.012211134453781513,218,152,0.01050420168067227,0.013983718487394959,0.463302752293578,0.3944954128440367,0.5275229357798165,0.21559633027522937,0.16502293577981672,0.2706422018348624,0.18807339449541285,0.13761467889908258,0.23853211009174313
HI-Small,graph_with_format,0.001,1523,1523171,1666,118,0.07082833133253301,0.07747866053841103,218,152,0.06369008535784636,0.09061063690085358,0.22018348623853212,0.1651376146788991,0.27522935779816515,0.10091743119266056,0.06422018348623854,0.14220183486238533,0.11009174311926606,0.07339449541284404,0.1514908256880728
HI-Small,graph_with_format,0.005,7616,1523171,1666,306,0.1836734693877551,0.04017857142857143,218,152,0.03597689075630252,0.04477415966386555,0.5,0.4356651376146791,0.5642201834862385,0.24311926605504589,0.18807339449541285,0.30275229357798167,0.2706422018348624,0.21559633027522937,0.3302752293577982
HI-Small,graph_with_format,0.01,15232,1523171,1666,459,0.2755102040816326,0.030133928571428572,218,152,0.0273109243697479,0.032761620273109235,0.5779816513761468,0.5091743119266054,0.6422018348623854,0.2981651376146789,0.23853211009174313,0.3577981651376147,0.3256880733944954,0.26146788990825687,0.38543577981651317
HI-Small,graph_without_format,0.001,1523,1523171,1666,147,0.08823529411764706,0.09652002626395273,218,152,0.08207485226526592,0.11098161523309248,0.3165137614678899,0.25688073394495414,0.3761467889908257,0.11009174311926606,0.07339449541284404,0.15137614678899083,0.1559633027522936,0.11009174311926606,0.20642201834862386
HI-Small,graph_without_format,0.005,7616,1523171,1666,261,0.1566626650660264,0.03426995798319328,218,152,0.030199579831932773,0.038340336134453784,0.47706422018348627,0.41284403669724773,0.5458715596330275,0.1834862385321101,0.13302752293577982,0.23394495412844038,0.24311926605504589,0.18795871559633048,0.30275229357798167
HI-Small,graph_without_format,0.01,15232,1523171,1666,271,0.16266506602641057,0.017791491596638655,218,152,0.015885963760504204,0.019761029411764705,0.47706422018348627,0.4127293577981654,0.5412844036697247,0.1834862385321101,0.13302752293577982,0.23853211009174313,0.24311926605504589,0.18807339449541285,0.30275229357798167
HI-Small,gnn_with_format,0.001,1523,1523171,1666,24,0.014405762304921969,0.015758371634931056,218,152,0.00984898227183191,0.021667760998030205,0.0871559633027523,0.05045871559633028,0.12385321100917432,0.01834862385321101,0.0045871559633027525,0.03669724770642202,0.07339449541284404,0.04128440366972477,0.11009174311926606
HI-Small,gnn_with_format,0.005,7616,1523171,1666,76,0.04561824729891957,0.009978991596638655,218,152,0.0077468487394957986,0.012342436974789915,0.24311926605504589,0.1834862385321101,0.2981651376146789,0.06422018348623854,0.03211009174311927,0.09644495412843974,0.16972477064220184,0.11926605504587157,0.22018348623853212
HI-Small,gnn_with_format,0.01,15232,1523171,1666,104,0.062424969987995196,0.006827731092436975,218,152,0.005580357142857143,0.008140756302521009,0.3073394495412844,0.24770642201834864,0.37155963302752293,0.07339449541284404,0.04128440366972477,0.11009174311926606,0.1926605504587156,0.14220183486238533,0.24770642201834864
HI-Small,gnn_without_format,0.001,1523,1523171,1666,5,0.003001200480192077,0.003282994090610637,218,152,0.0006565988181221273,0.006565988181221274,0.022935779816513763,0.0045871559633027525,0.041399082568806714,0.0,0.0,0.0,0.0045871559633027525,0.0,0.013761467889908258
HI-Small,gnn_without_format,0.005,7616,1523171,1666,15,0.00900360144057623,0.0019695378151260504,218,152,0.0010504201680672268,0.0030199579831932774,0.05045871559633028,0.022935779816513763,0.08256880733944955,0.0045871559633027525,0.0,0.013761467889908258,0.0045871559633027525,0.0,0.013761467889908258
HI-Small,gnn_without_format,0.01,15232,1523171,1666,33,0.019807923169267706,0.0021664915966386556,218,152,0.001444327731092437,0.002888655462184874,0.0963302752293578,0.05963302752293578,0.13761467889908258,0.022935779816513763,0.0045871559633027525,0.045871559633027525,0.03211009174311927,0.009174311926605505,0.05504587155963303
